1	17802	0.0097321876	17836	0.0118744375	15210	0.0194069582	15173	0.0218093912	17726	0.0267633994	14953	0.0296260084	15663	0.0299658799	15725	0.0310378150	15020	0.0310416829	17651	0.0316112926
2	399	0.0075964880	572	0.0122229213	291	0.0141139775	488	0.0150667588	388	0.0164256366	348	0.0186040849	338	0.0214329855	506	0.0222788836	739	0.0222829088	453	0.0223548966
3	98	0.0826158813	34	0.0889497823	202	0.0904347554	655	0.0933534181	23149	0.0957751894	189	0.0958393257	422	0.0962252655	310	0.0963708636	369	0.0968263402	23144	0.0984513434
4	117	0.0066570173	172	0.0132328406	149	0.0173547012	253	0.0200436136	17844	0.0278211885	92	0.0279965584	175	0.0282526386	196	0.0284566841	218	0.0292295193	15563	0.0292739010
5	23387	0.0047784401	23296	0.0160593293	23278	0.0199055730	23452	0.0220865677	23332	0.0226179083	23417	0.0254648175	22	0.0256450032	23484	0.0257781288	23403	0.0267737942	25	0.0270411118
6	22317	0.0113502558	22312	0.0125061871	22392	0.0147050499	22323	0.0152576367	16779	0.0153048615	22426	0.0190037102	16737	0.0195422723	22365	0.0212198428	22372	0.0212613583	22446	0.0219710480
7	95	0.0452337448	174	0.0493139119	100	0.0558247130	23094	0.0559674014	6	0.0567171978	23120	0.0576210821	23024	0.0576377178	23066	0.0576496272	23015	0.0594968801	23432	0.0596224012
8	23028	0.0083083112	22941	0.0151583172	22910	0.0173348244	22902	0.0208037932	23048	0.0275043982	23096	0.0279642509	22972	0.0279759441	22838	0.0292242115	22878	0.0292287626	22961	0.0308829839
9	17383	0.0136697699	22932	0.0148065152	22899	0.0178171935	22983	0.0193119870	17382	0.0198050272	17389	0.0219888242	22882	0.0225115440	22891	0.0238872817	23211	0.0240565910	22995	0.0241428106
10	190	0.0168895394	23428	0.0324094278	23129	0.0349259083	23502	0.0354258804	48	0.0360071769	23412	0.0379634639	133	0.0389310369	31	0.0391487564	23445	0.0401536566	23106	0.0406465021
11	125	0.0158239548	184	0.0218935701	207	0.0230987016	123	0.0239745745	282	0.0253607319	228	0.0271012672	395	0.0273575269	413	0.0285350713	430	0.0291266760	216	0.0295352309
12	22552	0.0212665710	22658	0.0254261562	22583	0.0301131771	22537	0.0305022526	22362	0.0320305879	22606	0.0338725433	22656	0.0345413565	22482	0.0347873462	22598	0.0350352639	22402	0.0353913145
13	23156	0.0105941590	14838	0.0298586847	17397	0.0304115342	23226	0.0307601975	22924	0.0321345841	14802	0.0329486842	14844	0.0375896737	14731	0.0382281677	14804	0.0383090112	17330	0.0399777364
14	22356	0.0115677680	22329	0.0119383260	22328	0.0155243312	16766	0.0185549181	16744	0.0199083119	22341	0.0200967087	22434	0.0211665742	22462	0.0245846506	16741	0.0269295345	22457	0.0269754142
15	21938	0.0155725114	14170	0.0155772283	21850	0.0171384739	21852	0.0173145366	21931	0.0209863763	21907	0.0239410625	21845	0.0250147831	21970	0.0294136443	21942	0.0310083440	14172	0.0311446672
16	21848	0.0176740947	21862	0.0194000008	14182	0.0199678560	14157	0.0220521881	21941	0.0226398633	14125	0.0263600584	21939	0.0270074036	21822	0.0287898908	21990	0.0321699192	17978	0.0330909556
17	189	0.0169652576	124	0.0322604350	566	0.0401936309	502	0.0414549394	23495	0.0453861733	278	0.0460547581	87	0.0464380018	255	0.0471647048	152	0.0481121653	231	0.0484917370
18	14871	0.0134343994	17437	0.0152278914	22265	0.0204703829	22222	0.0215257987	22154	0.0232534417	20864	0.0238724380	17595	0.0242925166	22136	0.0246254165	17507	0.0247128349	20775	0.0255606220
19	477	0.0213957164	141	0.0214940285	309	0.0222836610	695	0.0285292222	645	0.0292904696	109	0.0322249731	290	0.0326167380	466	0.0328998377	150	0.0332061287	537	0.0339671035
20	177	0.0115723463	361	0.0164074167	360	0.0173990354	211	0.0189977370	454	0.0197806426	235	0.0202179092	451	0.0236608316	135	0.0251911318	545	0.0253419728	249	0.0258730162
21	67	0.0047193520	23499	0.0089831047	99	0.0091649487	23434	0.0191626906	77	0.0232633369	197	0.0245904603	139	0.0250894635	23514	0.0254758331	23510	0.0270803138	140	0.0279483891
